Individuals,Sizes
1,22
10,23
10,23
10,23
10,23
10,23
10,23
10,23
10,23
10,23
10,23
12,24
12,24
12,24
12,24
12,24
12,24
12,24
12,24
12,24
12,24
12,24
12,24
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
27,25
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
31,26
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
28,27
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
32,28
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
36,29
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
61,32
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
31,33
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
36,34
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
39,35
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
24,36
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
21,37
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
18,38
10,39
10,39
10,39
10,39
10,39
10,39
10,39
10,39
10,39
10,39
15,40
15,40
15,40
15,40
15,40
15,40
15,40
15,40
15,40
15,40
15,40
15,40
15,40
15,40
15,40
13,41
13,41
13,41
13,41
13,41
13,41
13,41
13,41
13,41
13,41
13,41
13,41
13,41
4,42
4,42
4,42
4,42
1,43
1,48
1,50
1,51
2,51
2,51
1,57
1,70
1,74
1,81
1,88
1,90
