,FLOTA,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC,TOTAL,
2003,MANUAL,162,123,188,203,192,212,141,231,130,120,120,108,1930,
2003,PEQ. ESCALA,2345,2594,2776,2163,1607,1600,1128,815,344,403,1180,1015,17970,
2003,MEDIA,47,28,92,71,64,46,31,41,12,40,50,38,560,
2003,AVANZADA,,22,,0,12,,0,,,,,0,34,
2003,DESCONOCIDA,800,767,529,446,581,421,245,190,96,156,301,304,4836,
2003,TOTAL,3354,3534,3585,2883,2456,2279,1545,1277,582,719,1651,1465,25330,
2005,MANUAL,218,211,207,207,174,156,186,186,194,186,185,237,2347,
2005,PEQ. ESCALA,2077,1872,2127,2133,1886,398,499,3313,1713,312,1985,1870,20185,
2005,MEDIA,64,98,116,88,135,144,122,106,112,53,86,314,1438,
2005,DESCONOCIDA,494,588,548,523,452,119,90,652,351,126,322,356,4617,
2005,TOTAL,2853,2769,2998,2951,2647,817,897,4257,2370,677,2578,2777,28591,
2009,MANUAL,140,140,140,140,140,140,140,140,140,140,140,120,1660,#DIV/0!
2009,DESCONOCIDA,631,460,528,639,527,521,478,470,424,14,336,288,5316,#DIV/0!
2009,AVANZADA,524,253,327,667,271,541,778,895,371,600,600,812,6639,#DIV/0!
2009,PEQ. ESCALA,1283,965,1217,1251,1142,1187,1316,1461,1564,436,924,1573,14319,#DIV/0!
2009,MEDIA,1455,1492,2035,1866,1711,2084,2012,1894,2109,2096,1915,2975,23644,#DIV/0!
2009,TOTAL,4033,3310,4247,4563,3791,4473,4724,4860,4608,3286,3915,5768,51578,#DIV/0!
