"","Months.closed","F.Mortality","Selectivity","NPV","Label"
"1",0,0.025,29,3267.58809625024,"0-0.025-29"
"2",0,0.025,31,3356.77616187006,"0-0.025-31"
"3",0,0.025,38,3356.77616187006,"0-0.025-38"
"4",0,0.025,45,3325.35433881767,"0-0.025-45"
"5",0,0.025,62,3171.77219128291,"0-0.025-62"
"6",0,0.025,70,2804.04130640481,"0-0.025-70"
"7",0,0.025,76,2367.34638273873,"0-0.025-76"
"8",0,0.025,101,858.702109937848,"0-0.025-101"
"9",0,0.05,29,5291.42183170565,"0-0.05-29"
"10",0,0.05,31,5619.68981055503,"0-0.05-31"
"11",0,0.05,38,5619.68981055503,"0-0.05-38"
"12",0,0.05,45,5735.51377888466,"0-0.05-45"
"13",0,0.05,62,5609.34462844878,"0-0.05-62"
"14",0,0.05,70,5041.05598281,"0-0.05-70"
"15",0,0.05,76,4306.92576995198,"0-0.05-76"
"16",0,0.05,101,1600.64622713097,"0-0.05-101"
"17",0,0.075,29,6383.49936124096,"0-0.075-29"
"18",0,0.075,31,7041.63453235898,"0-0.075-31"
"19",0,0.075,38,7041.63453235898,"0-0.075-38"
"20",0,0.075,45,7428.87241341983,"0-0.075-45"
"21",0,0.075,62,7463.37983845026,"0-0.075-62"
"22",0,0.075,70,6822.35871025865,"0-0.075-70"
"23",0,0.075,76,5899.23387030064,"0-0.075-76"
"24",0,0.075,101,2244.89508249125,"0-0.075-101"
"25",0,0.1,29,6774.62820618625,"0-0.1-29"
"26",0,0.1,31,7812.57497271791,"0-0.1-31"
"27",0,0.1,38,7812.57497271791,"0-0.1-38"
"28",0,0.1,45,8556.47950521668,"0-0.1-45"
"29",0,0.1,62,8849.83914151166,"0-0.1-62"
"30",0,0.1,70,8234.37885459911,"0-0.1-70"
"31",0,0.1,76,7207.26866210569,"0-0.1-76"
"32",0,0.1,101,2806.78673923928,"0-0.1-101"
"33",0,0.125,29,6637.25690473521,"0-0.125-29"
"34",0,0.125,31,8076.63616081702,"0-0.125-31"
"35",0,0.125,38,8076.63616081702,"0-0.125-38"
"36",0,0.125,45,9234.47394142266,"0-0.125-45"
"37",0,0.125,62,9858.83239987856,"0-0.125-62"
"38",0,0.125,70,9344.84762804936,"0-0.125-70"
"39",0,0.125,76,8280.78287378291,"0-0.125-76"
"40",0,0.125,101,3298.76393554316,"0-0.125-101"
"41",0,0.15,29,6101.49314111688,"0-0.15-29"
"42",0,0.15,31,7944.21964576922,"0-0.15-31"
"43",0,0.15,38,7944.21964576922,"0-0.15-38"
"44",0,0.15,45,9552.98540919109,"0-0.15-45"
"45",0,0.15,62,10561.0131841065,"0-0.15-62"
"46",0,0.15,70,10207.3077879778,"0-0.15-70"
"47",0,0.15,76,9159.40677967411,"0-0.15-76"
"48",0,0.15,101,3730.99920813882,"0-0.15-101"
"49",0,0.175,29,5266.44608618425,"0-0.175-29"
"50",0,0.175,31,7500.68059282405,"0-0.175-31"
"51",0,0.175,38,7500.68059282405,"0-0.175-38"
"52",0,0.175,45,9582.57215947026,"0-0.175-45"
"53",0,0.175,62,11012.2481535151,"0-0.175-62"
"54",0,0.175,70,10864.4340699679,"0-0.175-70"
"55",0,0.175,76,9874.96400791181,"0-0.175-76"
"56",0,0.175,101,4111.87030355055,"0-0.175-101"
"57",0,0.2,29,4208.32351669645,"0-0.2-29"
"58",0,0.2,31,6812.6022573907,"0-0.2-31"
"59",0,0.2,38,6812.6022573907,"0-0.2-38"
"60",0,0.2,45,9378.923941066,"0-0.2-45"
"61",0,0.2,62,11257.0607138641,"0-0.2-62"
"62",0,0.2,70,11350.5019291135,"0-0.2-70"
"63",0,0.2,76,10453.2051674148,"0-0.2-76"
"64",0,0.2,101,4448.32484008864,"0-0.2-101"
"65",0,0.225,29,2986.24937068615,"0-0.225-29"
"66",0,0.225,31,5932.37464672455,"0-0.225-31"
"67",0,0.225,38,5932.37464672455,"0-0.225-38"
"68",0,0.225,45,8986.33108596066,"0-0.225-45"
"69",0,0.225,62,11331.1954270566,"0-0.225-62"
"70",0,0.225,70,11693.2403179085,"0-0.225-70"
"71",0,0.225,76,10915.117437967,"0-0.225-76"
"72",0,0.225,101,4746.16232535761,"0-0.225-101"
"73",0,0.25,29,1646.45978679852,"0-0.25-29"
"74",0,0.25,31,4901.56392331213,"0-0.25-31"
"75",0,0.25,38,4901.56392331213,"0-0.25-38"
"76",0,0.25,45,8440.26753778048,"0-0.25-45"
"77",0,0.25,62,11263.545557355,"0-0.25-62"
"78",0,0.25,70,11915.2347130733,"0-0.25-70"
"79",0,0.25,76,11277.9224383671,"0-0.25-76"
"80",0,0.25,101,5010.25398038338,"0-0.25-101"
"81",0,0.275,29,225.331793221964,"0-0.275-29"
"82",0,0.275,31,3753.41062798277,"0-0.275-31"
"83",0,0.275,38,3753.41062798277,"0-0.275-38"
"84",0,0.275,45,7769.33156038538,"0-0.275-45"
"85",0,0.275,62,11077.6149393415,"0-0.275-62"
"86",0,0.275,70,12034.9987072834,"0-0.275-70"
"87",0,0.275,76,11555.8428853976,"0-0.275-76"
"88",0,0.275,101,5244.715379438,"0-0.275-101"
"89",0,0.3,29,-1248.43546253793,"0-0.3-29"
"90",0,0.3,31,2514.69389244987,"0-0.3-31"
"91",0,0.3,38,2514.69389244987,"0-0.3-38"
"92",0,0.3,45,6996.71653704659,"0-0.3-45"
"93",0,0.3,62,10792.6362024548,"0-0.3-62"
"94",0,0.3,70,12067.7991730516,"0-0.3-70"
"95",0,0.3,76,11760.6962834123,"0-0.3-76"
"96",0,0.3,101,5453.04301201582,"0-0.3-101"
"97",0,0.325,29,-2752.25414793387,"0-0.325-29"
"98",0,0.325,31,1207.12973817925,"0-0.325-31"
"99",0,0.325,38,1207.12973817925,"0-0.325-38"
"100",0,0.325,45,6141.33493585159,"0-0.325-45"
"101",0,0.325,62,10424.4331476781,"0-0.325-62"
"102",0,0.325,70,12026.2966286939,"0-0.325-70"
"103",0,0.325,76,11902.3581437394,"0-0.325-76"
"104",0,0.325,101,5638.2230514097,"0-0.325-101"
"105",0,0.35,29,-4268.51888610993,"0-0.35-29"
"106",0,0.35,31,-151.575996939586,"0-0.35-31"
"107",0,0.35,38,-151.575996939586,"0-0.35-38"
"108",0,0.35,45,5218.68408814162,"0-0.35-45"
"109",0,0.35,62,9986.09100542257,"0-0.35-62"
"110",0,0.35,70,11921.0458809061,"0-0.35-70"
"111",0,0.35,76,11989.1260104283,"0-0.35-76"
"112",0,0.35,101,5802.81855719953,"0-0.35-101"
"113",0,0.375,29,-5783.77578889451,"0-0.375-29"
"114",0,0.375,31,-1546.93244914133,"0-0.375-31"
"115",0,0.375,38,-1546.93244914133,"0-0.375-38"
"116",0,0.375,45,4241.51818843404,"0-0.375-45"
"117",0,0.375,62,9488.48123777425,"0-0.375-62"
"118",0,0.375,70,11760.8901906062,"0-0.375-70"
"119",0,0.375,76,12028.0074983987,"0-0.375-76"
"120",0,0.375,101,5949.0398275997,"0-0.375-101"
"121",0,0.4,29,-7288.07833192025,"0-0.4-29"
"122",0,0.4,31,-2967.06142046505,"0-0.4-31"
"123",0,0.4,38,-2967.06142046505,"0-0.4-38"
"124",0,0.4,45,3220.37371197364,"0-0.4-45"
"125",0,0.4,62,8940.67534165543,"0-0.4-62"
"126",0,0.4,70,11553.2736856294,"0-0.4-70"
"127",0,0.4,76,12024.9496978834,"0-0.4-76"
