"","Months.closed","F.Mortality","Selectivity","NPV","Label"
"1",0,0.025,11,985013.36393612,"0-0.025-11"
"2",0,0.025,29,1009495.26867081,"0-0.025-29"
"3",0,0.025,43,1034581.39165368,"0-0.025-43"
"4",0,0.025,56,1022896.05595592,"0-0.025-56"
"5",0,0.025,66,973848.756345746,"0-0.025-66"
"6",0,0.025,75,859856.014077765,"0-0.025-75"
"7",0,0.027,11,1043523.45887572,"0-0.027-11"
"8",0,0.027,29,1071743.51338036,"0-0.027-29"
"9",0,0.027,43,1100962.6240412,"0-0.027-43"
"10",0,0.027,56,1090838.7051508,"0-0.027-56"
"11",0,0.027,66,1040363.35854477,"0-0.027-66"
"12",0,0.027,75,919520.207093929,"0-0.027-75"
"13",0,0.029,11,1099400.13317962,"0-0.029-11"
"14",0,0.029,29,1131569.44884543,"0-0.029-29"
"15",0,0.029,43,1165186.02193746,"0-0.029-43"
"16",0,0.029,56,1156947.51489462,"0-0.029-56"
"17",0,0.029,66,1105374.71243295,"0-0.029-66"
"18",0,0.029,75,977985.9519677,"0-0.029-75"
"19",0,0.031,11,1152712.25824448,"0-0.031-11"
"20",0,0.031,29,1189032.32484762,"0-0.031-29"
"21",0,0.031,43,1227301.4627831,"0-0.031-43"
"22",0,0.031,56,1221263.77382835,"0-0.031-56"
"23",0,0.031,66,1168916.70194275,"0-0.031-66"
"24",0,0.031,75,1035281.16118399,"0-0.031-75"
"25",0,0.033,11,1203526.79557654,"0-0.033-11"
"26",0,0.033,29,1244189.77261121,"0-0.033-29"
"27",0,0.033,43,1287357.45863953,"0-0.033-43"
"28",0,0.033,56,1283827.61600563,"0-0.033-56"
"29",0,0.033,66,1231022.22178485,"0-0.033-66"
"30",0,0.033,75,1091432.88117044,"0-0.033-75"
"31",0,0.035,11,1251908.85532874,"0-0.035-11"
"32",0,0.035,29,1297097.85486945,"0-0.035-29"
"33",0,0.035,43,1345401.19938857,"0-0.035-43"
"34",0,0.035,56,1344678.05873362,"0-0.035-56"
"35",0,0.035,66,1291723.21136882,"0-0.035-66"
"36",0,0.035,75,1146467.32349235,"0-0.035-75"
"37",0,0.037,11,1297921.75290899,"0-0.037-11"
"38",0,0.037,29,1347811.1142488,"0-0.037-29"
"39",0,0.037,43,1401478.59443907,"0-0.037-43"
