"","F.Mortality","NPV"
"1",0,0
"2",0.025,6241.03264952107
"3",0.05,10414.2709191437
"4",0.075,13019.0223483039
"5",0.1,14425.1554986215
"6",0.125,14909.6296127706
"7",0.15,14682.0132003742
"8",0.175,13902.504887554
"9",0.2,12694.7925246236
"10",0.225,11155.3192574318
"11",0.25,9360.02029665841
"12",0.275,7369.25863389194
"13",0.3,5231.46314025038
"14",0.325,2985.82077137359
"15",0.35,664.271765227427
"16",0.375,-1707.01306677365
"17",0.4,-4106.54113844456
"18",0.425,-6516.69320685939
"19",0.45,-8923.12706432716
"20",0.475,-11314.3279291877
"21",0.5,-13681.2562085554
"22",0.525,-16017.0544070352
