"","X1","Label","Months.closed","F.Mortality","Selectivity","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","CatchTotal","RevenueTotal","Biomass","Profit"
"1",1,"1-0.576057-32",11,0.318057,32,0,176958.348523671,136969.251701554,89942.9181316662,50668.5416070175,28549.2727914244,16089.5841424226,9069.77057667427,5113.97875849846,2884.31718249883,1627.27126598835,918.379598282211,518.493810373965,292.845895219848,165.472418969579,93.5451845580588,52.9111236627982,29.9450341270776,39.1988840684049,130012.795403317,509345.62520545,586703772.311464,0
"2",2,"1-0.576057-32",11,0.318057,32,1,177968.601181278,136717.176350904,105821.790809874,67671.862702442,38122.3409489964,21480.0954730825,12105.5904304941,6823.97549420024,3847.69001937097,2170.12212210664,1224.3373906369,690.976670255453,390.107889276273,220.333380614589,124.499260755115,70.3821603455271,39.8096300444602,58.9854444545115,10470.4281135855,41019.5530150631,752089611.426021,-1425.91575205774
"3",3,"1-0.576057-32",11,0.318057,32,2,206633.299054295,137497.692737395,105627.038595831,79618.9166125256,50915.4149848053,28682.7454143707,16161.3399018462,9108.08622358864,5134.26895992342,2894.95111033935,1632.77119917047,921.175268956235,519.881713106824,293.51201929648,165.775923123689,93.6715981133979,52.9546071057137,88.7597374309089,13691.7321696532,53830.3727898767,929443206.494209,11384.9040227559
"4",4,"1-0.576057-32",11,0.318057,32,3,233126.887911863,159643.901643873,106230.061834615,79472.3876209881,59904.2204260334,38308.0852151774,21580.5185102952,12159.5785153894,6852.80368046777,3862.95609871948,2178.12294885053,1228.47546766291,693.080095916347,391.152128946648,220.834563564765,124.727613268834,70.4772722335816,133.563306365853,17126.3644166346,68122.2043226998,1112862830.02528,25676.735555579
"5",5,"1-0.576057-32",11,0.318057,32,4,254075.499176015,180112.722076632,123340.117245004,79926.094334858,59793.9739496767,45071.143611696,28822.4969450067,16236.896867615,9148.70614502873,5155.95890620913,2906.43710664831,1638.79091545459,924.288703411925,521.464302770198,294.297691421312,166.153006550574,93.8434075262689,200.982532437804,20544.5779885368,82848.1470427642,1302708842.80001,40402.6782756434
"6",6,"1-0.576057-32",11,0.318057,32,5,269493.192726047,196297.519258577,139154.230318206,92799.4738583914,60135.3368839238,44988.1956201653,33910.9326858599,21685.6657146566,12216.426577693,6883.36557242967,3879.27532759886,2186.7648606471,1233.00462262418,695.422602846243,392.342848490096,221.425692886175,125.011325854789,302.433201484746,24101.1957245503,97792.0931908766,1500193309.29145,55346.6244237558
"7",7,"1-0.576057-32",11,0.318057,32,6,281957.20246919,208209.155785417,151658.527453594,104697.803497686,69821.097472186,45245.0325796273,33848.5237134703,25514.1375051887,16316.0082343007,9191.47787566661,5178.95326974252,2918.71547874336,1645.29297565825,927.696379736683,523.226774020101,295.193573066417,166.597764438229,455.09348623925,27836.3492396019,112997.221529234,1704594197.38037,70551.7527621134
"8",8,"1-0.576057-32",11,0.318057,32,7,292910.832938691,217838.790285904,160861.401040822,114105.871375779,78773.2434161282,52532.4708161551,34041.7644468006,25467.1818193084,19196.4998032955,12275.948924263,6915.54645718854,3896.5759827731,2196.00294551121,1237.89668677469,697.986493469024,393.668908561506,222.099742393846,684.812646893996,31734.6864180141,129018.453769578,1913156256.38201,86572.9850024571
"9",9,"1-0.576057-32",11,0.318057,32,8,302464.210748793,226301.512960901,168301.21074283,121029.991815714,85851.7493281735,59267.9470914951,39524.7366478239,25612.5735927363,19161.1709659174,14443.1927053377,9236.26170243681,5203.16574205587,2931.73226300979,1652.24358859747,931.377104138359,525.155811434197,296.191283135777,1030.48796681616,35729.2411864959,145632.378181324,2122344958.85157,103186.909414203
"10",10,"1-0.576057-32",11,0.318057,32,9,310624.138919046,233682.407107503,174839.469932177,126627.60629326,91061.366021513,64593.7213733249,44592.4199652932,29737.8894007668,19270.5618144005,14416.6117550844,10866.8672758618,6949.24121648072,3914.79312689198,2205.79660193245,1243.12623607431,700.755821855626,395.120290813118,1550.65104969837,39744.0663532571,162478.528244903,2328990128.89205,120033.059477782
"11",11,"1-0.576057-32",11,0.318057,32,10,317503.174010838,239986.728706175,180541.913558527,131546.906082119,95272.9371630143,68513.3681106915,48599.4621368246,33550.7473422583,22374.3948983637,14498.9159835132,10846.8681202484,8176.08729595882,5228.51723355712,2945.43860144367,1659.61220623252,935.311747905212,527.239417506236,2333.37870539117,43716.8931789967,179220.17132241,2530969750.79614,136774.702555289
