"","Selectivity","NPV"
"1",15,-607714.698025126
"2",16,-607714.698025126
"3",17,-607714.698025126
"4",18,-607714.698025126
"5",19,-607714.698025126
"6",20,-607714.698025126
"7",21,-607714.698025126
"8",22,-607714.698025126
"9",23,-607714.698025126
"10",24,-607714.698025126
"11",25,-607714.698025126
"12",26,-607714.698025126
"13",27,-607714.698025126
"14",28,-607714.698025126
"15",29,-607714.698025126
"16",30,784467.490938309
"17",31,784467.490938309
"18",32,784467.490938309
"19",33,784467.490938309
"20",34,784467.490938309
"21",35,784467.490938309
"22",36,784467.490938309
"23",37,784467.490938309
"24",38,784467.490938309
"25",39,784467.490938309
"26",40,784467.490938309
"27",41,784467.490938309
"28",42,784467.490938309
"29",43,784467.490938309
"30",44,2466996.46151314
"31",45,2466996.46151314
"32",46,2466996.46151314
"33",47,2466996.46151314
"34",48,2466996.46151314
"35",49,2466996.46151314
"36",50,2466996.46151314
"37",51,2466996.46151314
"38",52,2466996.46151314
"39",53,2466996.46151314
"40",54,2466996.46151314
"41",55,2466996.46151314
"42",56,2466996.46151314
"43",57,3901460.76482998
"44",58,3901460.76482998
"45",59,3901460.76482998
"46",60,3901460.76482998
"47",61,3901460.76482998
"48",62,3901460.76482998
"49",63,3901460.76482998
"50",64,3901460.76482998
"51",65,3901460.76482998
"52",66,3901460.76482998
"53",67,4365766.97641104
"54",68,4365766.97641104
"55",69,4365766.97641104
"56",70,4365766.97641104
"57",71,4365766.97641104
"58",72,4365766.97641104
"59",73,4365766.97641104
"60",74,4365766.97641104
"61",75,4365766.97641104
"62",76,4229689.81433789
"63",77,4229689.81433789
"64",78,4229689.81433789
"65",79,4229689.81433789
"66",80,4229689.81433789
"67",81,4229689.81433789
"68",82,4229689.81433789
"69",83,3736754.17686628
"70",84,3736754.17686628
"71",85,3736754.17686628
"72",86,3736754.17686628
"73",87,3736754.17686628
"74",88,3736754.17686628
"75",89,3094046.09896887
"76",90,3094046.09896887
"77",91,3094046.09896887
"78",92,3094046.09896887
"79",93,3094046.09896887
"80",94,3094046.09896887
"81",95,2440458.70262236
"82",96,2440458.70262236
"83",97,2440458.70262236
"84",98,2440458.70262236
"85",99,1852726.59968149
"86",100,1852726.59968149
"87",101,1852726.59968149
"88",102,1852726.59968149
"89",103,1363228.68319471
"90",104,1363228.68319471
"91",105,1363228.68319471
"92",106,976715.536112954
"93",107,976715.536112954
"94",108,976715.536112954
"95",109,683437.660926378
"96",110,683437.660926378
"97",111,467876.541062526
"98",112,467876.541062526
"99",113,313651.819276982
"100",114,205928.840107485
"101",115,205928.840107485
"102",116,132257.362873738
"103",117,0
"104",118,0
"105",119,0
"106",120,0
"107",121,0
"108",122,0
