"","YearsClosed","NPV"
"1",1,3515.56174832399
"2",2,4801.61844799771
"3",3,5882.93333741291
"4",4,6603.02350236035
"5",5,7138.90778560261
"6",6,7497.69332185795
"7",7,7698.8787316248
"8",8,7756.70993009798
"9",9,7688.22601791706
"10",10,7513.68088941207
"11",11,7252.45175233202
"12",12,6922.22291603462
"13",13,6538.45014532577
"14",14,6114.14362158156
"15",15,5659.75780499129
"16",16,5183.13929706226
"17",17,4689.374885252
"18",18,4180.38927392883
"19",19,3653.879282882
"20",20,3101.51984703682
"21",21,2505.18621678224
"22",22,1831.09065011852
"23",23,1024.15996374035
"24",24,0
"25",25,0
