"","Label","Months.closed","F.Mortality","Selectivity","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","CatchTotal","RevenueTotal","Biomass","Profit"
"1","102-0.576057",0,0.318057,102,0,176958.348523671,136969.251701554,89942.9181316662,50668.5416070175,28549.2727914244,16089.5841424226,9069.77057667427,5113.97875849846,2884.31718249883,1627.27126598835,918.379598282211,518.493810373965,292.845895219848,165.472418969579,93.5451845580588,52.9111236627982,29.9450341270776,39.1988840684049,6384.1373557404,27515.6320032411,586703772.311464,0
"2","102-0.576057",0,0.318057,102,1,177968.601181278,136717.176350904,105821.790809874,69489.4697103091,39146.2736633932,22057.0320387745,12430.7359950189,7007.26150384225,3951.03560591202,2228.40970308268,1257.2220214472,516.230727007165,291.45076521595,164.611724469026,93.0137682762967,52.5827214833084,29.7418930976936,44.0682011193458,6084.90811171764,26225.953961503,762060358.847937,-1289.67804173809
"3","102-0.576057",0,0.318057,102,2,208180.787657437,137497.692737395,105627.038595831,81757.4110327257,53687.2329798236,30244.2243870906,17041.157787587,9603.92736133161,5413.77682799495,3052.55127101234,1721.6587117825,706.697578381604,290.178662510374,163.827507378916,92.5299629428784,52.2840068624799,29.5572948159092,49.5423886686716,6974.82107097505,30061.4788159024,955003359.071179,2545.84681266134
"4","102-0.576057",0,0.318057,102,3,236312.816320165,160839.4839604,106230.061834615,81606.9464007134,63165.3859532903,41478.5002252256,23366.5435602383,13165.9172562716,7419.94848886608,4182.65816499987,2358.38655774607,967.762274014046,397.242061283283,163.112445213167,92.0891463575401,52.0120548510593,29.3893842197174,55.6965842184155,8747.86090720145,37703.2805100382,1158043930.52566,10187.6485067971
"5","102-0.576057",0,0.318057,102,4,258425.68514819,182574.15517472,124263.818442344,82072.8392798475,63049.1376959968,48801.276021706,32046.0915089555,18052.880145459,10171.9248985097,5732.61682497694,3231.50175581201,1325.67362074072,543.989242812925,223.293895550016,91.6872024746725,51.764267262189,29.2365171647117,62.6152589118233,11509.2846897466,49605.0170128077,1369714720.48492,22089.3850095666
"6","102-0.576057",0,0.318057,102,5,274570.728678221,199658.452199457,141055.921793939,96005.6336519561,63409.0843130884,48711.4631723803,37703.6331751042,24758.6575074813,13947.5691261794,7858.78067793838,4428.99242647314,1816.46075745592,745.174934514284,305.78201304413,125.515821836261,51.5383304238088,29.097233183028,70.3933769658056,15489.5183209046,66759.8239630987,1589741903.24931,39244.1919598576
"7","102-0.576057",0,0.318057,102,6,287393.115234347,212132.035852918,154255.16821915,108979.132638445,74173.4948149057,48989.5562125583,37634.2441959333,29129.6472241941,19128.4207436485,10775.825406368,6071.65648194925,2489.58272211625,1021.05149020667,418.870583483514,171.883250885304,70.5537493195964,28.9702317355297,79.1376991290273,21058.9142840446,90763.9205642321,1815750006.07921,63248.288560991
"8","102-0.576057",0,0.318057,102,7,298397.337395614,222038.550570413,163892.199477101,119176.807493967,84196.7582756112,57306.0884427042,37849.0975528569,29076.0376297259,22505.4265583692,14778.5266642781,8325.35133097664,3412.94127796081,1399.42034969686,573.943665655305,235.451512901709,96.6173635943607,39.6589965330919,88.9682480566128,28759.1232141318,123951.821052908,2042732447.30415,96436.189049667
"9","102-0.576057",0,0.318057,102,8,307740.469371474,230540.360145254,171545.925514634,126622.331895526,92075.4332475645,65050.0140025968,44274.4107015312,29242.0323088873,22464.0080412879,17387.5852555287,11417.8192383863,4679.7666000192,1918.44980055085,786.628738120808,322.619705769366,132.349745037384,54.3096252825356,100.019955714882,39353.8518532092,169615.101487332,2263861045.50788,142099.469484091
"10","102-0.576057",0,0.318057,102,9,315453.618761452,237758.819362749,178114.383056437,132535.564139977,97827.8099007442,71137.0407212481,50257.3306668952,34206.198612347,22592.2547389631,17355.5855067107,13433.5654662742,6418.07498478132,2630.54549411865,1078.38059242338,442.172197775726,181.347893145356,74.3951686510209,112.444515428035,53880.8192161874,232226.330821768,2471589165.95349,204710.698818527
"11","102-0.576057",0,0.318057,102,10,321648.30295241,243717.961805974,183691.330231033,137610.32311907,102396.344939148,75581.2994967779,54960.1384874327,38828.5740516646,26427.5459564019,17454.668293868,13408.8426129088,7551.14691128196,3607.66672253758,1478.65699041476,606.168950462759,248.549592725138,101.937537478786,126.412463987566,67959.3869304233,292904.957670125,2663737034.63582,265389.325666883
"12","102-0.576057",0,0.318057,102,11,326637.461160366,248503.945276317,188295.335270114,141919.045915875,106317.079530488,79110.9278851623,58393.7516276564,42461.940951327,29998.7711818268,20417.7960022028,13485.3935018504,7537.24993818893,4244.57824089329,2027.90699886915,831.16847824561,340.733873631197,139.712311978434,142.115522403003,76368.6695150656,329148.965609933,2843751333.05892,301633.333606692
"13","102-0.576057",0,0.318057,102,12,330787.082708368,252358.545120011,191992.963280244,145476.078257666,109645.978219769,82140.0687367879,61120.7256916314,45114.7340923635,32805.8931250012,23176.9075841461,15774.6918414338,7580.27998929774,4236.76660773372,2385.92158975836,1139.90762238976,467.208449090916,191.530055360124,159.769227422583,81548.9151638184,351475.824356057,3012270051.69235,323960.192352816
"14","102-0.576057",0,0.318057,102,13,334285.282912108,255564.522943045,194971.008741162,148332.848028397,112394.124447487,84711.9599922939,63461.0254709777,47221.5812522699,34855.428457532,25345.6766133854,17906.3682944942,8867.11840381605,4260.95424714623,2381.53058948721,1341.15134870904,640.753934133507,262.62273006633,179.615889943558,90566.7239051959,390342.580031394,3163135261.59997,362826.948028153
"15","102-0.576057",0,0.318057,102,14,337137.057623966,258267.21574141,197447.931921478,150633.6717525,114601.251151581,86835.1646649612,65448.0563924791,49029.6857034937,36483.1685280536,26929.1378393334,19581.9489060256,10065.3559160231,4984.29950820178,2395.12671324896,1338.6831217727,753.875126435414,360.17445277437,201.927920918619,101525.804875673,437576.21901415,3293635340.77266,410060.587010909
"16","102-0.576057",0,0.318057,102,15,339411.825143359,260470.483286835,199536.019491345,152547.330791908,116378.856590741,88540.3802332001,67088.434199369,50564.8563194948,37880.1014062204,28186.7220569278,20805.3234994192,11007.2172104899,5657.84128026523,2801.7266101656,1346.32564439312,752.487710395087,423.761051879097,227.011570409106,112434.138871987,484591.138538266,3404049717.94307,457075.506535025
"17","102-0.576057",0,0.318057,102,16,341209.829615303,262227.95782647,201238.253491996,154160.577292608,117857.340440466,89913.7497200628,68405.8756171049,51832.2043919519,39066.1669046135,29265.9857381729,21776.9270699056,11694.8887974143,6187.27131300109,3180.33144776475,1574.87967671148,756.78365187276,422.981170888166,255.211131106419,122061.644581388,526085.688145783,3496927212.93462,498570.056142542
"18","102-0.576057",0,0.318057,102,17,342640.95659469,263617.0875088,202596.069941867,155475.715165442,119103.726995121,91056.0192931073,69466.9343345762,52850.0533498748,40045.3139828138,30182.3342871979,22610.7610442217,12241.0372729391,6573.81866654002,3477.92957735067,1787.69739492714,885.256251312921,425.395964287701,286.91366401827,130318.409748113,561672.346014365,3575172109.50734,534156.714011124
