"","YearsClosed","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","CatchTotal","RevenueTotal","Biomass","Profit"
"1",1,0,176931.359818497,136946.525494931,89774.263380513,50407.22182277,28308.6103558701,15901.4641307893,8934.22803056919,5020.97110640099,2822.53618423521,1587.17121330337,892.797551255263,502.389899687084,282.815134309881,159.277683454776,89.746226965368,50.5949128544146,28.5397040631377,37.0749777838275,129737.79628666,507897.243221432,580870516.648782,0
"2",1,1,176634.670228883,136696.325005966,105804.232650993,69359.167853696,38944.3792440284,21871.097388518,12285.3953709671,6902.54197897383,3879.17833735205,2180.67799838941,1226.24091193555,689.771131336557,388.144041156919,218.501624335495,123.057178818196,69.3375070530296,39.0893884401862,50.6935903511783,0,0,762105149.670526,0
"3",1,2,208220.307476939,136467.104043615,105610.928946149,59278.9652048556,38859.8791827103,21819.3775833767,12253.7254758286,6883.14168985768,3867.28900672957,2173.38826549453,1221.76903466542,687.026317663253,386.4582528441,217.465563841004,122.419962431121,68.9452778834842,38.8477432802342,50.3027330987558,168478.02261695,665833.852805915,740313375.333603,157936.609584483
"4",1,3,205635.283737788,160870.016784521,105433.833923537,59170.6628873929,33212.2413982224,21772.0347118377,12224.7484070237,6865.39798939388,3856.41960165318,2166.72702710528,1217.68481410258,684.520857811084,384.920415366744,216.5210667804,121.839488545869,68.5882644910049,38.6279889404385,49.9483608061197,163513.459608221,644542.523004451,727847488.971429,136645.279783019
"5",1,4,201853.151269451,158872.83976877,124287.407956683,59071.4418125803,33151.5628303843,18607.831207611,12198.2236039573,6849.16299944703,3846.47833393596,2160.63722266952,1213.95272032142,682.232590484086,383.516680717594,215.659462173223,121.310314929759,68.2630422349191,38.4279649533051,49.6266947270379,164331.809447449,643078.298644796,730459624.933161,135181.055423364
"6",1,5,198735.255136597,155950.782256537,122744.39851664,69634.5386858842,33095.9722127498,18573.834810478,10425.414475925,6834.30194106929,3837.38235185615,2155.06742599564,1210.5407839914,680.141609321503,382.234632581543,214.872991392812,120.827583490294,67.9665619940938,38.2457525945051,49.3344072966767,166453.175561659,646923.825619891,738128973.211071,139026.582398458
"7",1,6,199059.409793922,153541.910570089,120486.830814746,68770.0363818148,39014.1612711553,18542.6890405414,10406.3673055779,5841.04970547935,3829.05614277728,2149.97121772776,1207.42019254665,678.230002858123,381.063118016624,214.154697947042,120.386947299675,67.6961019237697,38.079643532141,49.0685591752299,168345.003374178,656149.049972979,745108444.750476,148251.806751547
"8",1,7,201141.398905283,153792.350912803,118625.748035039,67505.1883327805,38529.8063382909,21858.4743780355,10388.9172568786,5830.37814234844,3272.56645197824,2145.30629038121,1204.56493860247,676.481628270105,379.99210176152,213.498333174189,119.984508842236,67.4492265695689,37.9281127975349,48.8265464104515,169406.237624999,661904.750649141,749591941.005638,154007.507427709
"9",1,8,202559.101020246,155400.885773539,118819.237049747,66462.4789951919,37821.1495897896,21587.1047126386,12246.6531784315,5820.60139898241,3266.58749250122,1833.52166521832,1201.9513185333,674.881914393187,379.012539472079,212.898274615761,119.61676717863,67.2237522693643,37.789795878023,48.6060556907318,170020.065578911,665062.266652676,752667404.181404,157165.023431244
"10",1,9,203174.532569775,156496.195668108,120061.98341383,66570.8851362603,37236.9505554694,21190.0654101074,12094.6128247551,6861.43559147448,3261.10987392878,1830.17183202243,1027.26766473841,673.417580790864,378.116267358274,212.349454994685,119.280572212562,67.0177175509501,37.6634693326521,48.4050264404994,170639.500836758,667340.886398231,755579036.941244,159443.643176799
"11",1,10,203405.341596059,156971.675148962,120908.214616053,67267.1589679314,37297.6872925864,20862.7560637753,11872.1635104886,6776.25190260407,3844.25832021338,1827.10288522677,1025.3908528143,575.54752421835,377.295844786459,211.84730038218,118.973084899376,66.8293575090478,37.5480342068745,48.2216187229538,171342.732315617,669768.966327705,758622869.258204,161871.723106273
"12",1,11,203681.509849295,157149.997102197,121275.567795925,67741.2771457676,37687.7888150541,20896.7850514254,11688.7818170884,6651.6201668989,3796.53243248612,2153.82361832446,1023.67141318738,574.496002308894,322.462162496105,211.387642012478,118.691742602794,66.6570815113626,37.4425016767465,48.054185964668,172048.673351708,672456.963632497,761582085.513011,164559.720411064
"13",1,12,204083.807422208,157363.363377906,121413.338486775,67947.0942082983,37953.4231310238,21115.3473338343,11707.847246933,6548.87685739316,3726.70497720219,2127.08422267771,1206.72332409617,573.532651417708,321.873026039831,180.665960439813,118.434209687324,66.4994537889938,37.3459805582947,47.901251630865,172675.306233712,675009.620400163,764230635.143226,167112.377178731
"14",1,13,204509.712789946,157674.176564626,121578.18425408,68024.2830294303,38068.7363106824,21264.1743417814,11830.3011942788,6559.55865077756,3669.14095621153,2087.96197597352,1191.7420358771,676.091193600402,321.333289183112,180.335884802786,101.221765087041,66.3551657548316,37.2576664329,47.761489159139,173209.91422325,677227.941866846,766534211.861393,169330.698645414
"15",1,14,204878.534957569,158003.22902107,121818.317040216,68116.6412107565,38111.9829117629,21328.7808872226,11913.6845410939,6628.16595600566,3675.12564739537,2055.71056682042,1169.82300444512,667.697623316766,378.793790537181,180.033486292371,101.036833523227,56.7115448997344,37.1768261381191,47.6337046241917,173678.138799284,679131.804461843,768570166.007801,171234.561240411
"16",1,15,205178.714737634,158288.179269271,122072.541399177,68251.1804698888,38163.728454262,21353.0106717638,11949.8816672698,6674.8831656169,3713.56428030745,2059.0636113212,1151.75349897174,655.417041821824,374.091122710748,212.2268964715,100.867408630406,56.6079332439252,31.7737921498304,47.5168183360683,174102.974081856,680822.085250978,770412176.966214,172924.842029546
"17",1,16,205435.46642995,158520.096736123,122292.692602325,68393.6148182271,38239.1068002974,21382.0021604449,11963.4568950159,6695.16333900257,3739.73854360131,2080.59963427439,1153.63211009449,645.293235246345,367.210678092475,209.592131533762,118.904419003415,56.5130095147442,31.7157416202283,44.4241711536217,174492.617771294,682365.539657375,772091560.659274,174468.296435943
"18",1,17,205669.708362139,158718.461869442,122471.870931458,68516.9589906125,38318.9085300352,21424.2344061677,11979.6999639906,6702.76913541587,3751.10092166839,2095.26429564175,1165.69810332847,646.34576519329,361.538610324562,205.737223021114,117.428238560027,66.6186100518053,31.6625586775591,42.6589289193188,174846.992208464,683778.267570354,773614857.145494,175881.024348922
"19",1,18,205887.114082722,158899.436069411,122625.126887676,68617.3472801165,38388.0146018799,21468.9449422388,12003.3614353893,6711.8696439347,3755.36222322167,2101.63029818443,1173.91427700277,653.105982390257,362.128311554264,202.55933212366,115.26844795559,65.7915500472366,37.3244261435483,41.6401193680134,175165.796229616,685057.033486808,774986236.500547,177159.790265376
"20",1,19,206085.414208391,159067.402692566,122764.946691707,68703.2120349423,38444.2591751959,21507.6630192541,12028.4114191719,6725.12646272724,3760.46096751873,2104.01777872443,1177.48095891866,657.709260171803,365.915860218014,202.889724186443,113.487970188161,64.5814835982651,36.8610490176551,44.241486644846,175451.564025243,686204.860072453,776217461.922741,178307.616851021
"21",2,0,176931.359818497,136946.525494931,89774.263380513,50407.22182277,28308.6103558701,15901.4641307893,8934.22803056919,5020.97110640099,2822.53618423521,1587.17121330337,892.797551255263,502.389899687084,282.815134309881,159.277683454776,89.746226965368,50.5949128544146,28.5397040631377,37.0749777838275,129737.79628666,507897.243221432,580870516.648782,0
