"","year","Profit","PV","Biomass","Type","Type2"
"1",0,0,0,586703772.311464,"Seasonal Closure","Seasonal Closure"
"2",1,-8704.02753685054,-7985.34636408306,692370988.549402,"Seasonal Closure","Seasonal Closure"
"3",2,31450.7255866351,26471.4464999875,797076268.03515,"Seasonal Closure","Seasonal Closure"
"4",3,72476.8011952177,55965.3885706171,897277345.797449,"Seasonal Closure","Seasonal Closure"
"5",4,112079.559737384,79399.9857630505,995092496.479387,"Seasonal Closure","Seasonal Closure"
"6",5,149551.255724463,97198.0549556586,1092484188.6903,"Seasonal Closure","Seasonal Closure"
"7",6,185736.873462482,110748.829042377,1189627948.47503,"Seasonal Closure","Seasonal Closure"
"8",7,222453.911431866,121689.907452573,1285207304.7774,"Seasonal Closure","Seasonal Closure"
"9",8,259228.238864987,130097.911825295,1377642018.4949,"Seasonal Closure","Seasonal Closure"
"10",9,295228.908025665,135931.590571279,1465781212.59952,"Seasonal Closure","Seasonal Closure"
"11",10,329733.842302268,139283.138387717,1549020566.35217,"Seasonal Closure","Seasonal Closure"
"12",11,362402.427954804,140442.845883803,1627211727.03017,"Seasonal Closure","Seasonal Closure"
"13",12,393182.326065184,139789.970213213,1700575954.36594,"Seasonal Closure","Seasonal Closure"
"14",13,422171.661956493,137703.381449787,1769680497.118,"Seasonal Closure","Seasonal Closure"
"15",14,449591.295559185,134538.605904928,1835456907.68361,"Seasonal Closure","Seasonal Closure"
"16",15,475799.933493437,130625.1817982,1899243713.29315,"Seasonal Closure","Seasonal Closure"
"17",16,501323.8408543,126268.316818081,1962958284.34889,"Seasonal Closure","Seasonal Closure"
"18",17,526932.605296755,121759.991046368,2029879390.54806,"Seasonal Closure","Seasonal Closure"
"19",18,553964.351690768,117436.974824868,2102998064.53103,"Seasonal Closure","Seasonal Closure"
"20",19,583636.910060863,113511.349957407,2185918312.64735,"Seasonal Closure","Seasonal Closure"
"21",20,617419.449082035,110166.701668585,2284218169.51031,"Seasonal Closure","Seasonal Closure"
"22",0,0,0,586703772.311464,"Gear Selectivity","Gear Selectivity"
"23",1,-11827.2862971841,-10850.7213735634,706436677.218724,"Gear Selectivity","Gear Selectivity"
"24",2,16143.3257988604,13587.5143496847,841768772.468669,"Gear Selectivity","Gear Selectivity"
"25",3,75708.6797811396,58460.9918242291,976583445.560748,"Gear Selectivity","Gear Selectivity"
"26",4,172036.726357793,121875.154180985,1099265828.73239,"Gear Selectivity","Gear Selectivity"
"27",5,275281.174397,178913.875297679,1209855051.70382,"Gear Selectivity","Gear Selectivity"
"28",6,346557.92200339,206641.165761777,1318734462.10791,"Gear Selectivity","Gear Selectivity"
"29",7,395255.67935393,216218.392075409,1431013904.81837,"Gear Selectivity","Gear Selectivity"
"30",8,452330.992052075,227009.672161867,1541171914.31399,"Gear Selectivity","Gear Selectivity"
"31",9,520279.813355464,239551.279190412,1642901948.39737,"Gear Selectivity","Gear Selectivity"
"32",10,591210.803699057,249733.832635967,1733016412.63258,"Gear Selectivity","Gear Selectivity"
"33",11,656110.775371457,254264.47893359,1811718103.99556,"Gear Selectivity","Gear Selectivity"
"34",12,711577.068308059,252990.357370992,1880581257.54697,"Gear Selectivity","Gear Selectivity"
"35",13,759073.714962846,247593.63723188,1940773116.40832,"Gear Selectivity","Gear Selectivity"
"36",14,800847.899863776,239650.903061974,1992951116.99866,"Gear Selectivity","Gear Selectivity"
"37",15,837931.154775661,230043.977987349,2037584724.68097,"Gear Selectivity","Gear Selectivity"
"38",16,870392.310895518,219225.504777297,2075408789.98128,"Gear Selectivity","Gear Selectivity"
"39",17,898300.974486938,207573.259864749,2107346516.09913,"Gear Selectivity","Gear Selectivity"
"40",18,922041.933102585,195467.11797384,2134199201.3983,"Gear Selectivity","Gear Selectivity"
"41",19,942086.065691645,183226.007898591,2156659266.63805,"Gear Selectivity","Gear Selectivity"
"42",20,958911.574200843,171099.445407171,2175436380.19895,"Gear Selectivity","Gear Selectivity"
"43",0,0,0,586703772.3,"Effort Reduction","Effort Reduction"
"44",1,11676.63992,10712.5136880734,695328558.4,"Effort Reduction","Effort Reduction"
"45",2,55332.14838,46571.9622759027,803344820,"Effort Reduction","Effort Reduction"
"46",3,100120.7772,77311.6101647144,907096099,"Effort Reduction","Effort Reduction"
"47",4,143464.5332,101633.89221258,1008664613,"Effort Reduction","Effort Reduction"
"48",5,184619.9806,119990.319929732,1110002048,"Effort Reduction","Effort Reduction"
"49",6,224463.1405,133840.036768849,1211251862,"Effort Reduction","Effort Reduction"
"50",7,264965.6965,144945.309694261,1311037198,"Effort Reduction","Effort Reduction"
"51",8,305597.4192,153369.039851503,1407698556,"Effort Reduction","Effort Reduction"
"52",9,345437.6597,159049.094616979,1500007291,"Effort Reduction","Effort Reduction"
"53",10,383683.5035,162072.058306,1587300925,"Effort Reduction","Effort Reduction"
"54",11,419946.9566,162743.241092472,1669403904,"Effort Reduction","Effort Reduction"
"55",12,454159.9317,161469.626470068,1746546794,"Effort Reduction","Effort Reduction"
"56",13,486428.9713,158662.743663866,1819345920,"Effort Reduction","Effort Reduction"
"57",14,517007.7044,154712.727935646,1888826528,"Effort Reduction","Effort Reduction"
"58",15,546315.1614,149984.294350416,1956474370,"Effort Reduction","Effort Reduction"
"59",16,574971.0309,144817.817096395,2024461536,"Effort Reduction","Effort Reduction"
"60",17,603899.3839,139544.949083498,2096453102,"Effort Reduction","Effort Reduction"
"61",18,634682.8777,134548.797052986,2175867892,"Effort Reduction","Effort Reduction"
"62",19,668795.0948,130073.737193426,2266862350,"Effort Reduction","Effort Reduction"
"63",20,708029.94,126334.412186685,2375888259,"Effort Reduction","Effort Reduction"
"64",0,0,0,586703772.3,"Longterm Closure","Longterm Closure"
"65",1,0,0,768035043.6,"Longterm Closure","Longterm Closure"
"66",2,0,0,966848861.7,"Longterm Closure","Longterm Closure"
"67",3,0,0,1176838499,"Longterm Closure","Longterm Closure"
"68",4,0,0,1397737638,"Longterm Closure","Longterm Closure"
"69",5,0,0,1630470486,"Longterm Closure","Longterm Closure"
"70",6,0,0,1874035194,"Longterm Closure","Longterm Closure"
"71",7,0,0,2125250454,"Longterm Closure","Longterm Closure"
"72",8,1418648.25,711971.719391783,1803073408,"Longterm Closure","Longterm Closure"
"73",9,1107487.69,509918.097948337,1577436440,"Longterm Closure","Longterm Closure"
"74",10,877304.1959,370582.773283092,1427095991,"Longterm Closure","Longterm Closure"
"75",11,728355.121,282261.53611763,1323840324,"Longterm Closure","Longterm Closure"
"76",12,629979.005,223979.412363768,1248366862,"Longterm Closure","Longterm Closure"
"77",13,562550.065,183491.819006271,1189765629,"Longterm Closure","Longterm Closure"
"78",14,510617.6563,152800.528630341,1142878438,"Longterm Closure","Longterm Closure"
"79",15,468769.3061,128695.007124403,1105217414,"Longterm Closure","Longterm Closure"
"80",16,434873.9663,109531.602684467,1075537067,"Longterm Closure","Longterm Closure"
"81",17,408178.1236,94319.0157057551,1052662537,"Longterm Closure","Longterm Closure"
"82",18,387815.7076,82214.5023431635,1035265907,"Longterm Closure","Longterm Closure"
"83",19,372533.5366,72453.9245461073,1022352941,"Longterm Closure","Longterm Closure"
"84",20,361343.5423,64474.8497696652,1013510638,"Longterm Closure","Longterm Closure"
"85",0,0,0,580870516.459429,"Combined","Combined"
