Year,Corvina.y.Robalo,Camaron.Blco
1952,85,43.24
1953,256,50.63
1954,237,55.87
1955,222,159.07
1956,84,199.44
1957,152,85.87
1958,130,353.64
1959,117,492.03
1960,152,205.82
1961,291,380.43
1962,235,270.01
1963,198,295.44
1964,282,571.73
1965,324,272.48
1966,290,352.26
1967,209,351.15
1968,197,382.59
1969,111,157.5
1970,125,301.32
1971,175,333.51
1972,164,232.38
1973,374,242.98
1974,447,235.03
1975,348,173.3
1976,371,260.66
1977,308,137.59
1978,334,188.89
1979,190,293.42
1980,228,355.55
1981,250,375.44
1982,295,218.58
1983,515,89.51
1984,390,234.76
1985,358,250
1986,353,246.41
1987,291,317
1988,252,230.23
1989,204,252.1
1990,156,95.99
1991,188,193.07
1992,263,172.21
1993,198,214.8
1994,172,145.54
1995,165,279.67
1996,159,330.73
1997,203,291.25
1998,260,297.33
1999,247,399.88
2000,185,222.27
2001,209,127.54
2002,218,181.32
2003,159,192.63
2004,137,181.14
2005,171,218.35
2006,203,227.67
2007,254,194.4
2008,187,163.57
2009,220,155.19
2010,188,182.12
2011,194,202
2012,176,134.95
2013,179,123
