Length,count
29,3
30,6
31,1
32,2
33,4
34,5
35,4
36,5
37,7
38,4
39,3
40,6
41,2
42,7
43,1
44,1
45,1
46,1
47,4
48,1
49,0
50,3
51,0
52,2
53,3
54,1
55,0
56,0
57,0
58,0
59,3
60,1
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,2
74,3
75,3
76,3
77,3
78,1
79,7
80,6
81,4
82,12
83,5
84,9
85,5
86,5
87,11
88,8
89,9
90,5
91,6
92,4
93,1
94,1
95,8
96,4
97,5
98,5
99,2
100,3
101,2
102,3
103,3
104,2
105,3
106,1
107,1
108,0
109,0
110,1
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,2
