date,length_class_raw,count_raw,length_class,count,,,,
1/1/12,23.046,10,23,10,,,,
1/1/12,24.094,9.6154,24,10,,,,
1/1/12,25.24,17.692,25,18,,,,
1/1/12,26.144,20,26,20,,,,
1/1/12,28.208,1.5385,28,2,,,,
1/1/12,29.624,2.6923,30,3,,,,
1/1/12,30.132,1.1538,30,1,,,,
1/1/12,31.387,3.4615,31,3,,,,
1/1/12,32.57,4.1566,33,4,,,,
1/1/12,33.587,4.1566,34,4,,,,
1/1/12,34.63,6.3875,35,6,,,,
1/1/12,35.774,2.6694,36,3,,,,
1/1/12,36.434,1.1821,36,1,,,,
1/1/12,37.812,3.0412,38,3,,,,
1/1/12,38.86,5.6438,39,6,,,,
1/1/12,40.003,1.9258,40,2,,,,
1/1/12,41.129,11.221,41,11,,,,
1/1/12,42.094,6.7593,42,7,,,,
1/1/12,43.085,4.5284,43,5,,,,
1/1/12,47.293,1.9258,47,2,,,,
1/1/12,50.505,1.1821,51,1,,,,
1/1/12,51.722,3.7848,52,4,,,,
1/1/12,53.083,4.1566,53,4,,,,
1/1/12,53.73,1.554,54,2,,,,
1/1/12,54.921,1.9258,55,2,,,,
1/1/12,56.817,4.5284,57,5,,,,
1/1/12,58.864,5.6438,59,6,,,,
1/1/12,59.833,1.554,60,2,,,,
1/1/12,61.355,1.1821,61,1,,,,
1/1/12,62.255,5.6438,62,6,,,,
1/1/12,63.237,2.6694,63,3,,,,
1/1/12,64.276,4.5284,64,5,,,,
1/1/12,65.454,3.7848,65,4,,,,
1/1/12,66.458,2.6694,66,3,,,,
1/1/12,67.306,2.6694,67,3,,,,
1/1/12,68.475,1.1821,68,1,,,,
1/1/12,69.331,1.9258,69,2,,,,
1/1/12,70.548,4.5284,71,5,,,,
1/1/12,71.9,4.1566,72,4,,,,
1/1/12,72.922,4.5284,73,5,,,,
1/1/12,73.743,2.2976,74,2,,,,
1/1/12,74.76,2.2976,75,2,,,,
1/1/12,75.795,3.7848,76,4,,,,
1/1/12,76.795,2.2976,77,2,,,,
1/1/12,77.812,2.2976,78,2,,,,
1/1/12,78.99,1.554,79,2,,,,
1/1/12,80.037,4.1566,80,4,,,,
1/1/12,81.085,6.7593,81,7,,,,
1/1/12,83.45,6.0157,83,6,,,,
