year,Profit,PV,Biomass,Type,Type2
0,0,0,586703772.3,Seasonal Closure,Seasonal Closure
1,-8704.027537,-7985.346364,692370988.5,Seasonal Closure,Seasonal Closure
2,31450.72559,26471.4465,797076268,Seasonal Closure,Seasonal Closure
3,72476.8012,55965.38857,897277345.8,Seasonal Closure,Seasonal Closure
4,112079.5597,79399.98576,995092496.5,Seasonal Closure,Seasonal Closure
5,149551.2557,97198.05496,1092484189,Seasonal Closure,Seasonal Closure
6,185736.8735,110748.829,1189627948,Seasonal Closure,Seasonal Closure
7,222453.9114,121689.9075,1285207305,Seasonal Closure,Seasonal Closure
8,259228.2389,130097.9118,1377642018,Seasonal Closure,Seasonal Closure
9,295228.908,135931.5906,1465781213,Seasonal Closure,Seasonal Closure
10,329733.8423,139283.1384,1549020566,Seasonal Closure,Seasonal Closure
11,362402.428,140442.8459,1627211727,Seasonal Closure,Seasonal Closure
12,393182.3261,139789.9702,1700575954,Seasonal Closure,Seasonal Closure
13,422171.662,137703.3814,1769680497,Seasonal Closure,Seasonal Closure
14,449591.2956,134538.6059,1835456908,Seasonal Closure,Seasonal Closure
15,475799.9335,130625.1818,1899243713,Seasonal Closure,Seasonal Closure
16,501323.8409,126268.3168,1962958284,Seasonal Closure,Seasonal Closure
17,526932.6053,121759.991,2029879391,Seasonal Closure,Seasonal Closure
18,553964.3517,117436.9748,2102998065,Seasonal Closure,Seasonal Closure
19,583636.9101,113511.35,2185918313,Seasonal Closure,Seasonal Closure
20,593636.9101,113511.35,2185918313,Seasonal Closure,Seasonal Closure
0,0,0,586703772.3,Gear Selectivity,Gear Selectivity
1,-11827.2863,-10850.72137,706436677.2,Gear Selectivity,Gear Selectivity
2,16143.3258,13587.51435,841768772.5,Gear Selectivity,Gear Selectivity
3,75708.67978,58460.99182,976583445.6,Gear Selectivity,Gear Selectivity
4,172036.7264,121875.1542,1099265829,Gear Selectivity,Gear Selectivity
5,275281.1744,178913.8753,1209855052,Gear Selectivity,Gear Selectivity
6,346557.922,206641.1658,1318734462,Gear Selectivity,Gear Selectivity
7,395255.6794,216218.3921,1431013905,Gear Selectivity,Gear Selectivity
8,452330.9921,227009.6722,1541171914,Gear Selectivity,Gear Selectivity
9,520279.8134,239551.2792,1642901948,Gear Selectivity,Gear Selectivity
10,591210.8037,249733.8326,1733016413,Gear Selectivity,Gear Selectivity
11,656110.7754,254264.4789,1811718104,Gear Selectivity,Gear Selectivity
12,711577.0683,252990.3574,1880581258,Gear Selectivity,Gear Selectivity
13,759073.715,247593.6372,1940773116,Gear Selectivity,Gear Selectivity
14,800847.8999,239650.9031,1992951117,Gear Selectivity,Gear Selectivity
15,837931.1548,230043.978,2037584725,Gear Selectivity,Gear Selectivity
16,870392.3109,219225.5048,2075408790,Gear Selectivity,Gear Selectivity
17,898300.9745,207573.2599,2107346516,Gear Selectivity,Gear Selectivity
18,922041.9331,195467.118,2134199201,Gear Selectivity,Gear Selectivity
19,942086.0657,183226.0079,2156659267,Gear Selectivity,Gear Selectivity
20,952086.0657,183226.0079,2156659267,Gear Selectivity,Gear Selectivity
0,0,0,586703772.3,Effort Reduction,Effort Reduction
1,11676.63992,10712.51368,695328558.4,Effort Reduction,Effort Reduction
